x,y
-121.78444766409962,-32.97895044824821
-121.75910533087915,-32.777976044908144
-121.73377151557547,-32.57700056765911
-121.70844143290435,-32.37602461992654
-121.68302783195283,-32.17505922219874
-121.65736037150347,-31.974126107954287
-121.63138438604362,-31.7732326579344
-121.60510589901588,-31.572378540678713
-121.57847985180645,-31.37157020680886
-121.55157616689448,-31.17079887681041
-121.52441143657208,-30.970062688625955
-121.49708862119421,-30.769347951530182
-121.46965645351474,-30.568648126978673
-121.44216195838783,-30.367956828566648
-121.41466163224237,-30.16726632886626
-121.3871849619668,-29.966572589470264
-121.35974731305087,-29.765873512157516
-121.33236174426823,-29.565167322507946
-121.3050370292353,-29.364452839369704
-121.27776816370616,-29.163730760271516
-121.25053567365049,-28.963003741772233
-121.22331459208924,-28.76227517535284
-121.19609167443225,-28.561546857947313
-121.168863934159,-28.360819194652915
-121.14163198058513,-28.160092102906603
-121.11439452252225,-27.959365758061963
-121.08714538253344,-27.7586409988974
-121.05987443718594,-27.55791920145969
-121.03255924300363,-27.35720342025044
-121.0051707965837,-27.1564976221595
-120.97770360654793,-26.955802588532716
-120.95014878716074,-26.755119571121874
-120.92250526054524,-26.55444875329395
-120.89477437302945,-26.35378998703921
-120.86693908902078,-26.15314567083809
-120.83898088804803,-25.952518449404064
-120.8109158097615,-25.751906160096663
-120.78274185822215,-25.551309133315826
-120.75445553006965,-25.35072790712726
-120.72599673359298,-25.150171079505647
-120.69742624422625,-24.949630149537285
-120.66875173184748,-24.749104061211934
-120.63995502078058,-24.548595472639306
-120.61103513873147,-24.3481046201108
-120.58203456034194,-24.147625428703602
-120.55294747131938,-23.94715875837695
-120.52373013793395,-23.746711032889955
-120.49444361111235,-23.54627341341958
-120.46507815279486,-23.34584733099151
-120.43560494196402,-23.145437068947597
-120.40608895212398,-22.945033104050257
-120.37651303943589,-22.744637969258203
-120.34688549086023,-22.544250464451125
-120.31723195351745,-22.343866802769252
-120.28751659472557,-22.14349229812475
-120.25776519516829,-21.943123145582646
-120.22797053309613,-21.742760417582492
-120.19811200270298,-21.54240720078375
-120.1682310466613,-21.342057324400756
-120.13826769082682,-21.141719754367585
-120.10828374550752,-20.941385268092645
-120.07823844055468,-20.741059971861866
-120.04815804710168,-20.540739945392925
-120.01803348267029,-20.340426552736623
-119.98786289777628,-20.140120090036827
-119.95766113179783,-19.93981832271701
-119.92740557704707,-19.739524676133843
-119.89712812274084,-19.5392343358266
-119.86679243363653,-19.338952809772604
-119.83644083509333,-19.138673691725987
-119.80602973403046,-18.938403602114164
-119.77560551250392,-18.7381355032962
-119.7451250541458,-18.537875957793677
-119.71463150765884,-18.337618402924193
-119.68409269326521,-18.137367747963907
-119.65353956381323,-17.93711927496012
-119.62295744203948,-17.73687522872826
-119.59236061886142,-17.536633427220504
-119.56174857437546,-17.336393952655374
-119.53112253963269,-17.136156616837116
-119.50049006629192,-16.93592026611401
-119.46984457529817,-16.735685907070884
-119.43919806572313,-16.53545170394843
-119.40854154074061,-16.335219033947613
-119.37788501575811,-16.134986363946798
-119.3472338204817,-15.934752878034097
-119.3165839147784,-15.73451919470375
-119.28595255957299,-15.534282673709162
-119.25534216458944,-15.334042946435554
-119.2247388401424,-15.133802139798451
-119.19421150007818,-14.933549733649954
-119.16368416001399,-14.733297327501457
-119.1332398499843,-14.533032290916726
-119.10283989700261,-14.332760506787336
-119.07246748026583,-14.132484554273228
-119.04223017761235,-13.932188148444515
-119.01199287495888,-13.731891742615803
-118.98187136070571,-13.531577910730208
-118.95181566857006,-13.33125417267127
-118.92177039724417,-13.130928876015675
-118.8918988139465,-12.93057760157264
-118.86202723064882,-12.730226327129605
-118.83223070033138,-12.529863896274723
-118.80253510192262,-12.329486462178954
-118.77283950351386,-12.129109028083183
-118.74326413611418,-11.928713825276775
-118.71372942581398,-11.728312613835474
-118.68419747128175,-11.527910997261783
-118.65480610967953,-11.327488711767314
-118.6254147480773,-11.127066426272847
-118.59605363397579,-10.926639714683601
-118.56678702971098,-10.726199173538687
-118.53752042544617,-10.525758632393774
-118.5083030554354,-10.325310917115322
-118.47915308769697,-10.124853380363755
-118.45000311995854,-9.924395843612189
-118.42091314582875,-9.723929599317051
-118.39187154116293,-9.523456334620503
-118.36282993649709,-9.322983069923954
-118.33385241636054,-9.122500538015256
-118.30491136368943,-8.922012732575755
-118.27597031101833,-8.721524927136254
-118.24709165746302,-8.521028128901145
-118.21824324107591,-8.320526972965288
-118.1893948246888,-8.120025817029436
-118.16060371666164,-7.919516428088701
-118.13184175561376,-7.719002851849237
-118.10307979456589,-7.518489275609774
-118.07436968000715,-7.317968273729449
-118.04569333210088,-7.117442435667576
-118.0170169841946,-6.916916597605703
-117.98838543097271,-6.7163843638119545
-117.9597982782137,-6.515845790572811
-117.93121112545468,-6.315307217333673
-117.90265620518386,-6.114764056775391
-117.87416031668856,-5.914212494830533
-117.84566442819326,-5.713660932885675
-117.81718280149497,-5.513107347770924
-117.78877663786248,-5.312543057511308
-117.76037047423,-5.111978767251692
-117.73196431059753,-4.911414476992077
-117.70363790178028,-4.710838908542364
-117.67531842909192,-4.510262359249308
-117.64699895640355,-4.309685809956247
-117.61873272239721,-4.109101755191664
-117.59049685770665,-3.9085134190281803
-117.5622609930161,-3.7079250828646964
-117.53405055598213,-3.507333172676222
-117.50589676953993,-3.30673329987311
-117.47774298309771,-3.106133427069998
-117.4495891966555,-2.905533554266886
-117.42151508414392,-2.7049225165566257
-117.39344608197634,-2.504310762721078
-117.36537707980875,-2.3036990088855305
-117.33735629331592,-2.1030805200593976
-117.309378738188,-1.9024559924743505
-117.2814011830601,-1.7018314648893038
-117.25343077617806,-1.5012059422401614
-117.22555098159499,-1.3005678060006567
-117.1976711870119,-1.0999296697611487
-117.16979139242882,-0.8992915335216404
-117.1419703659409,-0.6986452463000687
-117.1141922288436,-0.49799301043148414
-117.08641409174632,-0.29734077456289965
-117.05864044101844,-0.09668791879387265
-117.03096666688694,0.10397873734255772
-117.00329289275543,0.3046453934789881
-116.97561911862391,0.5053120496154184
-116.9479955281874,0.7059856128996117
-116.92042884427056,0.9066670086429325
-116.89286216035372,1.1073484043862531
-116.86529547643687,1.308029800129574
-116.83782315927537,1.5087241321895952
-116.81036673993306,1.70942064361059
-116.78291032059074,1.9101171550315776
-116.7554769348391,2.110816811026346
-116.72813260208805,2.311528624644925
-116.70078826933702,2.512240438263505
-116.67344393658598,2.7129522518820846
-116.64615478979839,2.9136715689579717
-116.6189168803028,3.114397852603062
-116.59167897080722,3.3151241362481514
-116.56444106131165,3.5158504198932414
-116.53727411322997,3.7165863167247393
-116.51012536016741,3.9173246784466764
-116.48297660710486,4.118063040168613
-116.45583037622238,4.318801742583227
-116.42874700274011,4.5195489356905725
-116.40166362925784,4.720296128797919
-116.37458025577557,4.921043321905265
-116.34750815448521,5.121792034474292
-116.32047031830757,5.322545365889961
-116.29343248212992,5.523298697305629
-116.26639464595227,5.724052028721291
-116.23937217676776,5.924807428379825
-116.21237059381305,6.125565639115024
-116.18536901085834,6.3263238498502234
-116.15836742790363,6.527082060585422
-116.13138615134183,6.727843000652207
-116.10442026930255,6.92860600985834
-116.07745438726327,7.129369019064473
-116.050488505224,7.330132028270607
-116.02354900231589,7.530898578061103
-115.99662171132695,7.731666766924915
-115.96969442033803,7.932434955788728
-115.9427671293491,8.13320314465254
-115.91587159172374,8.33397558899714
-115.88898556405402,8.534749307834543
-115.86209953638429,8.735523026671947
-115.83521350871457,8.93629674550935
-115.80836216910866,9.137075105814583
-115.78151802787964,9.337854429305155
-115.75467388665062,9.538633752795736
-115.7278297454216,9.739413076286315
-115.7010174618201,9.940196656144918
-115.67421032510967,10.1409809236587
-115.64740318839922,10.341765191172483
-115.62059605168879,10.542549458686265
-115.59381234045252,10.74333685218541
-115.56703214768943,10.944124715203149
-115.54025195492635,11.144912578220888
-115.51347176216326,11.345700441238627
