x,y
-136.39629643621828,-31.67618813069166
-136.29078570611864,-30.942224015887557
-136.18527297698768,-30.208260188456137
-136.07975830120193,-29.474296640873444
-135.9742413544144,-28.74033341977375
-135.86872262244583,-28.006370455319686
-135.76320239095313,-27.27240770644729
-135.65768086760664,-26.53844514330305
-135.55215813266756,-25.804482754350047
-135.44663422345525,-25.07052053422479
-135.34110919734914,-24.3365584746795
-135.235583129078,-23.602596564971723
-135.13005603990362,-22.868634802045992
-135.0245279423184,-22.13467318410763
-134.9189986836778,-21.40071173310536
-134.8134679862814,-20.666750488969434
-134.70793569856554,-19.932789473495234
-134.60240150448703,-19.19882873212918
-134.49686520507007,-18.4648682934871
-134.3913265241599,-17.730908197284467
-134.28578498245133,-16.996948512451908
-134.1802399575855,-16.26298932849701
-134.0746899804708,-15.52903085670556
-133.969132597918,-14.795073449926276
-133.8635676229864,-14.06111713511761
-133.75799461923583,-13.32716197513824
-133.65241472993205,-12.593207805619484
-133.54682734516166,-11.8592547143677
-133.44123335773608,-11.125302573011975
-133.33563092487256,-10.391351646755712
-133.2300199355391,-9.657401951679182
-133.1243986330714,-8.92345374067465
-133.01876555870922,-8.189507223840481
-132.9131217179524,-7.455562256637993
-132.80746835063115,-6.721618660750968
-132.7018058168554,-5.987676384460193
-132.59613438878714,-5.2537353886960965
-132.49045427612126,-4.519795643374183
-132.3847655806993,-3.7858571339340017
-132.27906830696693,-3.0519198598380397
-132.17336243420718,-2.3179838241728934
-132.06764782515026,-1.5840490468142763
-131.96192425204336,-0.8501155606772506
-131.85619112921532,-0.11618345024896459
-131.75044719884565,0.617747103116339
-131.64469165923865,1.351675983734029
-131.5389244619842,2.085603184441329
-131.4331459387004,2.8195287528472006
-131.327356718628,3.5534527794784436
-131.22155753054045,4.287375369236919
-131.1157489876536,5.021296610393779
-131.00993126748116,5.755216528425892
-130.90410267120134,6.489134878240337
-130.7982652678093,7.223051958031054
-130.69241921038525,7.956967789774084
-130.58656463578316,8.690882393113096
-130.48070167239422,9.424795786479498
-130.3748277036547,10.158707592305035
-130.26894454202625,10.89261807188994
-130.16305282078062,11.626527316496775
-130.05715257845654,12.360435331605222
-129.95124122534003,13.094341743396122
-129.84531841486358,13.828246501641978
-129.73938619406914,14.562149901639668
-129.63344503126,15.296052010917288
-129.52749422922776,16.02995272868195
