left_x,left_y,right_x,right_y
-108.43170166015624,18.539125442504883,-128.40750122070312,-33.19911193847656
-108.3127899169922,19.358604431152344,-128.29051208496094,-32.38990020751953
-108.19468688964844,20.17825698852539,-128.17132568359375,-31.555620193481445
-108.07836151123048,20.985322952270508,-128.05113220214844,-30.714563369750977
-107.95573425292967,21.83552932739257,-127.92839813232422,-29.8543701171875
-107.83412170410156,22.677095413208008,-127.80347442626952,-28.97836303710937
-107.71463012695312,23.50279426574707,-127.68221282958984,-28.12592315673828
-107.59272003173828,24.344497680664062,-127.55931854248048,-27.25777244567871
-107.4713134765625,25.181983947753903,-127.4278335571289,-26.325851440429688
-107.34646606445312,26.042940139770508,-127.30470275878906,-25.4453067779541
-107.22164154052734,26.903217315673828,-127.1922836303711,-24.607999801635746
-107.09518432617188,27.77448272705078,-127.07168579101562,-23.722755432128903
-106.97648620605467,28.594646453857425,-126.94186401367188,-22.77665328979492
-106.8585205078125,29.410064697265625,-126.80332946777344,-21.76712417602539
-106.74144744873048,30.219558715820312,-126.68431854248048,-20.8999252319336
-106.6218490600586,31.047643661499023,-126.56920623779295,-20.061635971069336
-106.49513244628906,31.928163528442383,-126.44833374023438,-19.18194007873535
-106.36076354980467,32.865440368652344,-126.3201675415039,-18.24968719482422
-106.23503875732422,33.74550247192383,-126.18307495117188,-17.25336456298828
-106.11646270751952,34.578006744384766,-126.03555297851562,-16.181785583496094
-105.9920425415039,35.452301025390625,-125.88304901123048,-15.074015617370604
-105.8595199584961,36.38122177124024,-125.76994323730467,-14.25202465057373
-105.71935272216795,37.36428451538086,-125.65071105957033,-13.38512134552002
-105.57687377929688,38.36405563354492,-125.52517700195312,-12.471755027770996
-105.43489837646484,39.35968017578125,-125.39317321777344,-11.51116180419922
-105.29348754882812,40.35066223144531,-125.25448608398438,-10.502959251403809
-105.15264129638672,41.33700942993164,-125.10897064208984,-9.447477340698242
-105.01234436035156,42.3187255859375,-124.95484161376952,-8.347284317016602
-104.87262725830078,43.29577255249024,-124.79161071777344,-7.213793754577637
-104.73348236083984,44.268096923828125,-124.62214660644533,-6.064860820770264
-104.59491729736328,45.23565673828125,-124.45157623291016,-4.91168212890625
-104.45693969726562,46.19843673706055,-124.28125762939452,-3.75937819480896
-104.31956481933594,47.15645217895508,-124.11100006103516,-2.609086275100708
-104.18279266357422,48.109710693359375,-123.94070434570312,-1.4608290195465088
-104.046630859375,49.0582160949707,-123.77042388916016,-0.3146007061004638
-103.91048431396484,50.0058708190918,-123.60025787353516,0.8296233415603638
-103.77103424072266,50.97590637207031,-123.4306640625,1.971914291381836
-103.62507629394533,51.99113082885742,-123.26214599609376,3.112348318099976
-103.49886322021484,52.86928939819336,-123.09491729736328,4.250960350036621
-103.38036346435548,53.69403839111328,-122.9285659790039,5.387694835662842
-103.25767517089844,54.54808044433594,-122.76283264160156,6.52251672744751
-103.13037109375,55.434532165527344,-122.60062408447266,7.655823230743408
-102.99793243408205,56.35702896118164,-122.44085693359376,8.787476539611816
-102.85982513427734,57.31947326660156,-122.2805633544922,9.917072296142578
-102.71556854248048,58.32552719116211,-122.12029266357422,11.04471492767334
-102.56464385986328,59.37883377075195,-121.96092224121094,12.170552253723145
-102.40647888183594,60.48360824584961,-121.8031997680664,13.294696807861328
-102.24393463134766,61.620304107666016,-121.6454849243164,14.4169282913208
-102.12857055664062,62.42790603637695,-121.48783111572266,15.53725528717041
-102.00924682617188,63.26412963867188,-121.33074951171876,16.655750274658203
-101.88614654541016,64.1300048828125,-121.1744613647461,17.772441864013672
-101.75975799560548,65.02584075927734,-121.01854705810548,18.88727569580078
-101.630615234375,65.94769287109375,-120.8625030517578,20.00018310546875
