x,y
-136.44695264251447,-30.888771625180382
-136.40550835455159,-30.590699356270534
-136.36054428077767,-30.267347494971773
-136.3190075598583,-29.968663262817643
-136.27663081966978,-29.663921877262588
-136.2353051741004,-29.366754821570712
-136.19364452152226,-29.067181064084338
-136.1502938079904,-28.75545693022958
-136.10223998639765,-28.40991692584766
-136.04948146994002,-28.030550547465076
-136.006825661034,-27.723831633196024
-135.96152495039738,-27.39809699542102
-135.90827998608881,-27.01524703826629
-135.85870396238926,-26.65878335804042
-135.80558497936332,-26.29408179073688
-135.73705243037148,-25.88163030068776
-135.66692006893226,-25.50564402145367
-135.59180603591935,-25.126387611108242
-135.51275900094814,-24.745266465953694
-135.43358990412833,-24.362546732328237
-135.36286482278103,-23.977297656942515
-135.29608718544446,-23.547005551429784
-135.2503663012291,-23.15788670490655
-135.20216074741774,-22.768902430391673
-135.14665449540087,-22.33677719481591
-135.097970094567,-21.947585677223504
-135.05000143634294,-21.558187571089245
-134.9972736632239,-21.169229506928172
-134.95563034468256,-20.866469071695196
-134.9021742050739,-20.476380380020043
-134.84856925818622,-20.085161122001043
-134.79476529759722,-19.692480717675252
-134.74073411482436,-19.2981419401469
-134.69854644312514,-18.990241245309146
-134.64409201996335,-18.59281261639164
-134.5893952057075,-18.19361399587012
-134.53442902896785,-17.792448555008747
-134.47917678477643,-17.389194253999904
-134.41747919125697,-16.938899499304075
-134.36158211007066,-16.531726694432667
-134.2991126322548,-16.123767372052008
-134.22918560152814,-15.715281034896876
-134.1725428741091,-15.3967486349158
-134.09684606656754,-14.986165144713794
-134.01783689171793,-14.57444712578532
-133.93634252880472,-14.161437628132596
-133.87678027875342,-13.838205706387049
-133.8033274843582,-13.420196753827447
-133.73831044126746,-12.998592631446822
-133.68104950653077,-12.573300539689482
-133.63705073577827,-12.240538337864775
-133.57927170305723,-11.810342527715944
-133.5148829508302,-11.378202436750326
-133.449400550268,-10.943333499252176
-133.3836849056377,-10.50560100695623
-133.31752701247422,-10.065030774542787
-133.2509439038454,-9.621614858492352
-133.2063176053837,-9.324422301512175
-133.16150097779698,-9.025962075949954
-133.1089747773623,-8.676158606138225
-133.06374646545257,-8.37495631414285
-133.0183283063346,-8.07248942229298
-132.97272034979514,-7.768758416990144
-132.9269226758042,-7.463763811063671
-132.87324873164138,-7.1063160041629105
-132.82701189725543,-6.79839611149259
-132.7805258952938,-6.488816465873768
-132.73375034616035,-6.177308303346076
-132.6866429085054,-5.8635896436184485
-132.63121963057128,-5.494490574734015
-132.58329750359795,-5.175346691494172
-132.52689279140176,-4.799712161341707
-132.47811779811622,-4.474888858380026
-132.42894655886104,-4.147427118232462
-132.37937921123245,-3.8173277338011755
-132.32941528082117,-3.4845873008129242
-132.27905307511614,-3.1491945759893376
-132.22829029035117,-2.8111344334756367
-132.17712519161194,-2.470395138011065
-132.11692116373538,-2.069460409281706
-132.06487632169905,-1.7228628518494284
-132.01242071810833,-1.3735299069736067
-131.9595519744969,-1.0214465403142505
-131.90626645676443,-0.6665880124349579
-131.86154123672048,-0.368737585467236
-131.79843156292873,0.051544946700397054
-131.74387424963533,0.41487216467652444
-131.6796779580136,0.842389529111391
-131.62417969651835,1.211981853618999
-131.5682387389291,1.5845215804136992
-131.5119469050968,1.9600560857707012
-131.45869777780294,2.339046672457098
-131.4038002555227,2.7858609283527342
-131.3563997533503,3.171988318174356
-131.3040001890436,3.560433875151959
-131.2502055228635,3.9516169972931237
-131.19625757319767,4.345618035245171
-131.13297509020353,4.808800706674528
-131.07830982668003,5.208819530205693
-131.02325995685229,5.611632727383239
-130.96782522403743,6.017262375047916
-130.91200237645793,6.425729462783921
-130.85578784465022,6.837064425795798
-130.7897015608324,7.3206299313943966
-130.73261933561412,7.738310493201585
-130.67512773178336,8.158985598084474
-130.61722012250087,8.582703781717889
-130.55889179329048,9.00950001404855
-130.50013508000424,9.439429378766361
-130.4310350800875,9.945040541397779
-130.37132611422862,10.38193567056537
-130.31116588578055,10.822131568928711
-130.2505470005628,11.265682370645289
-130.18946081735413,11.71265106484532
-130.12789852093363,12.163102477884093
-130.06585265299736,12.61709082173683
-129.99284284705834,13.151300387674343
-129.92971824901005,13.61317857932517
-129.86608044770267,14.078810674844755
-129.8019199545415,14.548265755872741
-129.73722703913765,15.02161461447037
-129.6719904725127,15.498939759400947
-129.6061995031726,15.980319584544635
-129.53984322539114,16.465833908823782
-129.46169649078675,17.037612994695504
-129.39407246443338,17.53239818030784
-129.33725863256447,17.94808638165799
-129.2685189612471,18.451029665680903
-129.18752974667353,19.04359502898184
-129.11741961499226,19.55655938143775
-129.0466771321958,20.074147150906125
-128.9991641843994,20.421774226138286
-128.9273627468272,20.94710467936553
-128.85491356441207,21.4771712287477
-128.78180426837346,22.01206426603363
-128.70802157142472,22.55188077443309
-128.6335518037181,23.09672058030962
-128.54578122086895,23.73886780119844
-128.46976947919936,24.294980667996786
-128.3930208958695,24.856480068241304
-128.3155196085532,25.42348183058756
-128.2372507147259,25.996094718683857
-128.1581967188064,26.574446438453805
-128.0783421137462,27.158649960172525
-127.99769757843552,27.748626380768144
-127.91630970985838,28.344034255651476
-127.86166521185847,28.743792764923043
-127.77913837300126,29.34752359063606
-127.737626135529,29.65120740388426
-127.69595172286749,29.95607628973675
-127.65411821002566,30.262107826061296
-127.61212745404842,30.56928847146473
-127.56998340797928,30.877589237606063
-127.52769066185012,31.186976488576406
-127.48525577604079,31.497402294902784
-127.44268410487805,31.808827570619957
-127.39998214627795,32.121204768827475
-127.35715791934025,32.43447522789383
-127.31422011773451,32.74857540141361
-127.27117842793022,33.063434497392535
-127.22804249851737,33.37898205426677
-127.18481973510418,33.695164100828094
-127.14151519117182,34.01194379052233
-127.08365942081971,34.43516717287231
-127.04018739943476,34.753170803340666
-126.9966502525909,35.071650559196435
-126.95305036875207,35.390588965275015
-126.90938925230415,35.709975145016514
-126.85108055300451,36.136509966032605
-126.80727917883293,36.456921942750625
-126.71949768675897,37.0990532196548
-126.67551723477648,37.42077491073679
-126.63147660120806,37.74293677128696
-126.5873758075466,38.06553873112722
-126.54321444959186,38.388583681477165
-126.49899244289152,38.712072194325486
-126.45471279498707,39.03598227151479
-126.41037996993619,39.36028110468389
-126.36600203998624,39.68490950440087
-126.32159036832608,40.00978453023271
-126.27715891728363,40.33480404186788
-126.23272246860614,40.65985979762971
-126.18829303816952,40.984864354419145
-126.12908240304242,41.417995022713896
-126.05514505737966,41.958854096513264
-126.0108329715861,42.283002520867605
-125.96656137729885,42.60685559751258
-125.92233019381261,42.93041413918577
-125.86341814586416,43.36136740116769
-125.81928122104542,43.68423897923281
-125.77518465049094,44.00681642003154
-125.73112842445148,44.32909983530506
-125.68711251857506,44.65108938532552
-125.59920156840913,45.29418750226881
-125.555306486163,45.61529634251276
-125.51145163164307,45.936111978759925
-125.46763697753676,46.256634593440545
-125.42386250471016,46.57686432669638
-125.36555900217682,47.003382046670836
-125.2782374541755,47.642183931859414
-125.2346367802889,47.96114679205036
-125.191076140469,48.27981788444946
-125.11856393171682,48.8102885744733
-125.06063409077318,49.23408251006466
-125.01723333992702,49.551588036133296
-124.97390854159484,49.8685346989476
-124.93071677132318,50.18450373635533
-124.88768135160488,50.49932496045637
-124.84487500281803,50.812462602796174
-124.8023815455523,51.12330011909678
-124.76030175085991,51.431098014193
-124.71878278645039,51.734771705699764
-124.67805587723316,52.03261859163498
-124.58765973267485,52.69351809329241
-124.51750384415382,53.20618089619577
-124.45529030603984,53.66063662800034
-124.4012627037911,54.0552021779227
-124.34859961725554,54.439727224911856
-124.29701035098883,54.8164140766012
-124.24855982901335,55.17016086656132
-124.20585594351961,55.48205159776836
-124.15501050094159,55.784333417788694
-124.10500624307932,56.081629903941334
-124.0555616797199,56.413269157300135
-124.00447065984376,56.75920136836925
-123.9505215062205,57.12443917271263
-123.89909968833746,57.4725610971534
-123.84822237470064,57.81699390987518
-123.79606191066966,58.17011033819669
-123.74878502032608,58.490163342871114
-123.69278217702593,58.8692856246433
-123.63823751084367,59.2385330709189
-123.58651716929808,59.58865367678206
-123.53297965950749,59.95107437033181
-123.47137008262247,60.36813633244819
-123.41401248313791,60.75641266695925
-123.34816196061412,61.20217879528532
-123.28698965354572,61.61627385200508
-123.22401200560218,62.042587498300854
-123.15923013039789,62.48111200530856
-123.11504041066485,62.78024155782918
-123.07004966226873,63.08479239730078
-123.02425799515096,63.394763466581736
-122.97766575777361,63.710152355323075
-122.93027325054481,64.0309570601093
-122.88208068836853,64.3571758946244
-122.82484432928354,64.74461112922086
-122.77491193696386,65.08260387635049
-122.72416644535909,65.42609892779336
-122.67259925195482,65.77515432846472
-122.6202006138684,66.12983653900301
-122.5580023488481,66.55084917252215
-122.5037623343169,66.91799144945995
-122.44865351759829,67.29101256129893
-122.39266076871546,67.67001485081893
-122.33576908600962,68.05509964971583
-122.26823556299449,68.51221343085484
-122.20931756504045,68.91100934154015
-122.14917596247837,69.31808863717576
-122.08754650500921,69.73523590357092
-122.02429941920212,70.16332747072079
-121.94834274748055,70.67743717394127
-121.89259092401107,71.05478551310443
-121.84705518628344,71.36298393071229
-121.77713537668593,71.83621360905339
-121.70519608340445,72.32310215186929
-121.63114273764464,72.82428840352459
-121.55487526051274,73.34044790521206
-121.47628077491969,73.87234302481144
-121.3951104947819,74.42166115436461
-121.31100538015737,74.99082864660521
-121.20879138737148,75.68252076842566
-121.16354248300775,75.98871438028752
-121.1173854772598,76.30104556613853
-121.07029215478451,76.6197042893219
-121.02223383673869,76.94488379829636
-120.97318194152527,77.27677641699262
-120.9231081100962,77.61557291702216
-120.87198402414684,77.96146375971061
-120.81978232892949,78.3146323997082
-120.7664887899674,78.6751661952715
-120.71216640272782,79.04260644271587
-120.63861165515378,79.54002409807664
-120.58284835598792,79.91708234721628
-120.46955862784962,80.68309209707608
-120.41191867158221,81.07281793157075
-120.35355300297684,81.46744382901541
-120.29441322827397,81.86729650668198
-120.23444632807168,82.27273347675802
-120.17360232771561,82.68409133974308
-120.11183387335518,83.10168893943978
-119.98534293530219,83.95681803402817
-119.920531905154,84.3949438228956
-119.85462837208907,84.84043552809634
-119.78761574567528,85.29339340039967
-119.69666481818314,85.90804515771745
-119.65068509362841,86.21871440397514
-119.55816756589093,86.8437331338278
-119.488287186638,87.31578295017026
-119.4179153641188,87.79113781922689
-119.34699770555939,88.27017095893699
-119.2754872653811,88.75319964840546
-119.22746076981566,89.07759702482632
-119.15485693004602,89.56799457642445
-119.08156318798915,90.06303807636951
-119.00759757203879,90.56260070784508
-118.93299234418518,91.06646173682277
-118.83257476339152,91.74461776913415
-118.75658804340257,92.25775892384951
-118.68005811545662,92.77454810293037
-118.60301990736883,93.29475019501433
-118.52550712715583,93.81813848565193
-118.44755154032177,94.34449955749781
-118.369186159857,94.87361147173279
-118.29044865692536,95.40522087290847
-118.21138497470224,95.93901819091201
-118.13205073719726,96.47462815495389
-118.05250989123107,97.01161985108469
-117.97283132487202,97.54953122889881
-117.86649695092989,98.26738124973299
-117.78676728471821,98.80561693167508
-117.7071970696635,99.3427623809037
-117.62789046791201,99.87811163088205
-117.54892589849516,100.41113728623317
-117.47038108929081,100.9413118738243
-117.39232657633367,101.4681559035156
-117.31485117020817,101.99106596614578
-117.2380809446759,102.50918375754287
-117.16212487528763,103.02177015752187
-117.08711037731004,103.52795879692525
-117.01315844440192,104.02692933290017
-116.94039437493346,104.51783091357608
-116.84543516614606,105.15837891280522
-116.79892569259177,105.47206522547002
-116.73049413005654,105.93373029413087
-116.66408272812173,106.38398207619527
-116.57989420403123,106.9645235997253
-116.52056593848931,107.38315613355608
-116.4646228189103,107.78613931618584
-116.41186429590373,108.17266926985889
-116.3617398434904,108.54251332624352
-116.31364843730502,108.89689913400233
-116.26724624699003,109.23781857414737
-116.2224466425882,109.5659247510783
-116.17921915429592,109.88167533676732
-116.13755000092624,110.18550953312707
-116.05902330300484,110.75734447831863
-115.9851972643326,111.29437402185675
-115.9383570465659,111.6351253603686
-115.87389800291145,112.10369364275665
-115.81605021790622,112.52424375867078
-115.76217426772881,112.91627562021496
-115.7054082506436,113.32905627448405
-115.66381178157728,113.63145784196891
-115.60745836760663,114.0416098226084
-115.55155038637561,114.44850567899967
-115.50826801218072,114.76352111080827
-115.45250696697012,115.16936180364168
-115.39561670550907,115.58342400973527
-115.33719635180155,116.00862109826993
-115.27713828015837,116.44573560600436
-115.23617218734631,116.74389348267594
-115.18743528415138,117.09860689840114
-115.14485088207022,117.40854029363909
-115.10151880939749,117.723913846127
-115.05743889909887,118.04472874497179
-115.00506741628878,118.42588812314902
-114.94396724167125,118.87057229544382
-114.8894046628405,119.2676738720602
-114.84181110881813,119.6140537187912
-114.79344581872057,119.9660484220102
-114.74429925102763,120.32372745639118
-114.69436145544849,120.68716265164659
-114.64362161236576,121.05643281348543
-114.59206706747543,121.43162993868506
-114.53087322905134,121.87697581237101
-114.47750704906248,122.26535195610656
-114.42327971283385,122.65999315086246
-114.36814342400105,123.06124639599392
-114.31192381758187,123.47038268167289
-114.25449475895009,123.88831708213355
-114.19577257796189,124.31565734163607
-114.12554478397718,124.8267207516084
-114.06380939039137,125.27597619297703
-114.0005896352666,125.73602857900602
-113.93582174842007,126.20733791301731
-113.8694361118051,126.69041168390699
-113.80136187967585,127.18576390635245
-113.73152570888546,127.69392706013622
-113.65985258537144,128.2154456227756
-113.57380020659438,128.8415761685245
-113.4978516763694,129.394174736377
-113.4197844945507,129.96217265522208
-113.33950056435825,130.5462816143891
-113.29849489671537,130.84461269792072
-113.2568872689475,131.1473205315612
-113.21466215971499,131.4545147073959
-113.17180652790115,131.76628934860892
-113.12830869566024,132.08272904988115
-113.08415325721082,132.40394668146106
-113.03932164192045,132.73007647485562
-112.97847711941498,133.1726787107273
-112.93205282430846,133.51036979511042
-112.88491005754256,133.85327879757514
-112.83699875085405,134.20177397054198
-112.78830037780789,134.5559822711148
-112.73881470654108,134.91590077761234
-112.68852243826262,135.28167123860504
-112.63739107886738,135.6535333514811
-112.58543111247643,136.03140304583127
-112.47900812634563,136.8052926763031
-112.42449703562836,137.2016669446389
-112.3690850104416,137.60457399498782
-112.3127554303294,138.01413186153297
-112.25549502782852,138.43043453607618
-112.19729011480972,138.85358222820938
-112.11819685228296,139.42854491207123
-112.01693304498372,140.1646089794407
-111.95489312894671,140.61553032620205
-111.89187040473739,141.07347016570722
-111.80631440740432,141.69508601483707
-111.74102380593287,142.1692212894755
-111.67483003576164,142.64951714272732
-111.60780235749984,143.13549298359254
-111.54000670946073,143.62706496994437
-111.47137500827976,144.12434777995063
-111.4019291158925,144.62712813967374
-111.33176670481218,145.13493024969256
-111.26096013681642,145.64710295566914
-111.1894694725092,146.16377571210725
-111.11719943003246,146.68560600197958
-111.0441501339955,147.21277880676766
-110.94572958078943,147.92266295633286
-110.89613954550951,148.28006185724067
-110.82135344726443,148.81900601976986
-110.74597824115283,149.36231436111527
-110.66981565015998,149.910707880518
-110.56745268114364,150.64712414830387
-110.49022236101499,151.20293842759563
-110.41249995452121,151.7621205003276
-110.33439328699257,152.32357974290238
-110.25603875301496,152.88668298940829
-110.17744879842381,153.45139873811758
-110.09867109145989,154.01716838876698
-110.02002146625922,154.5815087254156
-109.91681594944454,155.32208205392604
-109.86651400041426,155.6830205652147
-109.76877417403863,156.38441363637475
-109.69783754593047,156.89505135611284
-109.62904584540648,157.39283522433126
-109.5625018497143,157.8772194923013
