Center_X,Center_Y
-114.62759399414062,19.40861892700196
-114.47831742803452,20.4545882484512
-114.32933912074529,21.500600113448584
-114.18023130191085,22.546593523578075
-114.03078423761967,23.592538515293356
-113.88113020437538,24.63845391694434
-113.73123281394848,25.68433446523323
-113.58115939895616,26.730189774199815
-113.43091517197207,27.776020556254146
-113.28053590652216,28.82183193286578
-113.13030352561601,29.867664419775537
-112.98017182706754,30.913511362386245
-112.8302940345091,31.95939471756461
-112.68093431452536,33.00535217318575
-112.53206307239022,34.051379262612585
-112.3836163618851,35.09746669185888
-112.23555927651562,36.14360934315045
-112.08749017550907,37.189750295803776
-111.9396333866403,38.23592127741805
-111.79213433946346,39.282142732756355
-111.64519704800261,40.3284432274965
-111.49874741372153,41.374812107993776
-111.352924362588,42.42126849066029
-111.20769869029968,43.46780795603238
-111.06287254465855,44.51440277216999
-110.91858884072803,45.561072493883955
-110.77451248971515,46.60777080533665
-110.63007726559321,47.65441964179736
-110.48555166214616,48.70105602047202
-110.3407259026946,49.74765090482974
-110.19582102431235,50.79423482543169
-110.05043921413422,51.84075260141779
-109.90418697644363,52.887148878113265
-109.75653866456383,53.933349130182734
-109.60812410855873,54.97944112842604
-109.45950176030128,56.025503625300985
-109.31063770948539,57.07153175397182
-109.16162847225571,58.11753921366758
-109.01252267843044,59.16353291389047
-108.86331071291639,60.20951147397832
-108.71403595720722,61.255481075390755
-108.56471533238141,62.30144412963368
-108.41535280692953,63.347401201264084
-108.26600778592746,64.39336077134843
-108.11695938437566,65.43936263735017
-107.96840797915301,66.48543520276944
-107.82030365305611,67.53157115709983
-107.67263603242239,68.57776885565355
-107.52522437201053,69.62400264686725
-107.3781998621137,70.67029090461513
-107.23113840507536,71.71657398435792
-107.08401308674935,72.76284808715886
-106.93683273422718,73.8091144487053
-106.78969173717195,74.85538634661172
-106.6425643282581,75.90166015575096
-106.49537489798186,76.94792524176461
-106.34820634201108,77.99419326419326
-106.20095983793489,79.04045032000327
-106.05365780400074,80.08669955865253
-105.90610503943006,81.13291345852619
-105.75831185706178,82.17909342692059
-105.61022933282509,83.22523248159237
-105.46192647312748,84.27134031866244
-105.3133777893679,85.31741328009166
-105.16474111769536,86.36347374660063
-105.01599007785967,87.40951795602427
-104.86717053505936,88.45555241688898
-104.71814474626333,89.5015575168875
-104.56884210619498,90.54752313173462
-104.4193212452966,91.5934575756016
-104.26950800189339,92.63935018266511
-104.11952908831219,93.68521904763348
-103.96933030962059,94.73105635627894
-103.81917553506696,95.77689998448696
-103.6693306199015,96.82278805185986
-103.5197744821508,97.86871744910766
-103.37063557083249,98.9147064151345
-103.22222947616024,99.96079959305378
-103.07454949980104,101.0069955055723
-102.92765805337007,102.05330242013636
-102.78133140720377,103.09968850904785
-102.63542572457173,104.14613337583856
-102.48993205306785,105.19263561411988
-102.34491189359515,106.23920355847498
-102.20035460800877,107.28583555586778
-102.05572486730064,108.33245754064382
-101.91082427693081,109.37904206993284
-101.76555420824377,110.42557534543319
-101.61932712808087,111.47197529160496
-101.47266547217214,112.51831448879216
-101.3259805559521,113.56465041565315
-101.17903198262697,114.61094935709411
-101.03212831730536,115.65725460409924
-100.88507559784522,116.7035389117853
-100.73795345307467,117.74981346199377
-100.59082822737697,118.79608757895336
-100.44374325484817,119.84236735527035
-100.29670573406497,120.88865380129177
-100.14971606024758,121.93494697030316
-100.00278693899101,122.9812486397864
-99.85596752679078,124.02756571417125
-99.7090904552733,125.07387469580749
-99.56217433623615,126.12017819418011
-99.41518727526811,127.1664717297208
-99.26829819243622,128.21277902469743
-99.12149842209092,129.25909885476307
-98.97469964245585,130.30541882328737
-98.82767756345393,131.35170742620895
-98.68052026554018,132.39797703248232
-98.53313853818263,133.44421504535475
-98.3857268939424,134.49044884133437
-98.2382130271091,135.53666823381505
-98.09078190384211,136.58289929015766
-97.94343440408299,137.62914212722464
-97.79604664698215,138.67537929137254
-97.64875252519226,139.7216296369865
-97.50154487846343,140.76789215654168
-97.35467964771672,141.81420279336513
-97.20849585512349,142.86060874804227
-97.06386449796975,143.9072303384254
-96.9195921896539,144.953901655329
-96.77508023005097,146.00053991826016
-96.63056197043012,147.04717731133508
-96.4860235687551,148.09381192092906
-96.34120294398006,149.1404075135572
-96.19613591379088,150.18696898297299
-96.05083738069095,151.23349833728966
-95.90527486481265,152.27999100747897
-95.75950110802071,153.32645427107738
-95.61350180437991,154.37288609304218
-95.46719687884989,155.41927522745993
-95.32064193106099,156.46562937188662
-95.17386318383292,157.51195214941697
-95.02686600441588,158.55824426244
-94.87971161206534,159.6045142750521
-94.73239106879069,160.65076090685633
-94.58466178064373,161.69694988381016
-94.4365561122625,162.7430856640704
-94.28837687674518,163.78921102594504
-94.14015344934397,164.83533012729933
-93.99183569743154,165.8814358597806
-93.84344512055192,166.9275312645097
-93.69488185435253,167.97360215555187
-93.54610120896847,169.01964215094915
-93.39710725285171,170.06565178546472
-93.24787119775053,171.1116269052194
-93.09841499726154,172.15757059376298
-92.94874004487255,173.20348299970817
-92.79884601093836,174.24936403052737
-92.64876045918706,175.29521759783594
-92.49850311015608,176.34104649693407
-92.34824247752294,177.38687492514254
-92.19828326478373,178.43274660020398
-92.04912957779977,179.47873343335917
-91.90065668072654,180.5248171286127
-91.75263523118225,181.57096482169638
-91.60470822118603,182.61712587943646
-91.45683153439506,183.66329404566454
-91.30931762390313,184.70951342139867
-91.16221143763923,185.75579020629448
-91.01548194803837,186.80211988542135
-90.86903039503902,187.84848850853047
-90.72265595980696,188.89486792557403
-90.5761895695844,189.9412344728597
-90.42961408767397,190.98758574640897
-90.28322077055495,192.0339625150619
-90.13735049529046,193.0804122869533
-89.99276713178261,194.12704045029324
-89.8503298393285,195.17396280966966
-89.70816685114441,196.2209226532935
-89.56544776315936,197.26780689770047
-89.42243094266479,198.31465049994614
-89.27903705506965,199.36144251998502
-89.13528543443203,200.40818547597075
-88.99124769126696,201.45488910133216
-88.84698445660452,202.50156167594082
-88.70250504664787,203.5482044164256
-88.55772588343288,204.59480574854967
-88.41268797471851,205.641371256576
-88.26762020909574,206.687932627573
-88.12247176974226,207.73448281138982
-87.97686167169557,208.7809688316607
-87.83060723100768,209.82736500762104
-87.68392886544308,210.87370185231003
-87.5365067492263,211.91993415991197
-87.3885157847982,212.96608614458148
-87.23897385129601,214.01201731658438
-87.08727218355116,215.05763748311918
-86.9339389432605,216.1030196668621
-86.7794565978588,217.14823277802404
-86.62499483307565,218.1934489831108
-86.47063492737799,219.23868023868866
-86.31607992894509,220.28388265730845
-86.16111887784899,221.32902493355743
-86.00567698812134,222.37409581618186
-85.84990432696635,223.41911745335977
-85.6933599239652,224.4640236801076
-85.533726597431,225.50846180458242
-85.37109712217053,226.55243808679768
-85.20606140838784,227.5960364986434
-85.03841093448952,228.6392177119122
-84.86693001515347,229.68177478639691
-84.68095619253495,230.72181347285326
-84.47026599594166,231.75712788602854
-84.2383052829623,232.78791461907906
-83.99713419696234,233.81654538786435
-83.72696756095137,234.83798184427081
-83.43902787939665,235.85448023603917
-83.10589476702282,236.85715550220883
-82.7411876314001,237.8478744788822
-82.32662187617228,238.81971324871012
-81.86538205205336,239.7702628391189
-81.40358831473918,240.72054213135922
-80.920667345445,241.6602366220459
-80.41504267430199,242.58788137181926
-79.88350734367909,243.50084257932454
-79.32425384540245,244.39714414675774
-78.7392960162339,245.27688052811607
-78.12159300255773,246.1338004289587
-77.46713573254573,246.96299277063054
-76.7798920252436,247.76536800031607
-76.07087803152393,248.54866934025512
-75.35819571310523,249.32867986463944
-74.63883393753969,250.10251501472098
-73.90345802586492,250.86097828774433
-73.14118487257574,251.5925046751363
-72.34439961280908,252.28638406650543
-71.52631652877011,252.95485323603071
-70.6868303632802,253.59634087410478
-69.82728060708371,254.21067431684037
-68.94856814803134,254.797283345508
-68.05749636817144,255.36495140886512
-67.15171614861826,255.90874160014977
-66.22900461868974,256.4231321498217
-65.28887529102376,256.90507215505124
-64.33395559133166,257.35699810117313
-63.366746743903214,257.7820882316689
-62.38650934621931,258.1761268937504
-61.3919154448952,258.5324648635612
-60.38744221604834,258.8599638657587
-59.37623772545877,259.16574538785574
-58.35679118195442,259.44329060157577
-57.330997469122266,259.6961026841149
-56.29772787337813,259.91651889883485
-55.25766866677495,260.1023254554845
-54.213116616250616,260.26102742253636
-53.166245451529946,260.40369240861037
-52.11765545696796,260.53301534904983
-51.06685333663108,260.6431140308307
-50.01359531493831,260.7266777770847
-48.95817872948362,260.7747475110305
-47.901913595622084,260.77640494348617
-46.84611719970112,260.74528321765524
-45.791936667836524,260.67501708135177
-44.74122729433005,260.56390825013733
-43.69602354795226,260.41004807941687
-42.65812677438749,260.21370750832966
-41.62517103565738,259.9917419368728
-40.59367670420948,259.7629307947144
-39.56474932646542,259.52285860178984
-38.53769250660653,259.2748891067201
-37.51019623817123,259.0287492126402
-36.48338838429101,258.7797495796646
-35.45639327331626,258.531523105193
-34.42933465750332,258.28355949618134
-33.402217555760366,258.0358382704904
-32.375061852568415,257.78827712723063
-31.34769850695691,257.54157928345074
-30.320297469418982,257.29503832730927
