x,y
-122.31788330187398,-33.14000254655389
-122.28236994408229,-32.83572263752035
-122.24766032368758,-32.51485053702097
-122.21525945889006,-32.19228147576553
-122.17756711020758,-31.891751056018816
-122.12061104332876,-31.5947637699263
-122.06317699928437,-31.29127597690499
-122.01885892782732,-30.987367600446984
-121.96995409480954,-30.655093032131546
-121.92082930892401,-30.320437725561582
-121.87593509433438,-30.014782387462297
-121.82105887216684,-29.645538235777167
-121.74864932581289,-29.272612513292486
-121.68649191999182,-28.971679254635006
-121.63059320007193,-28.64990688833533
-121.5737085667581,-28.30894020187727
-121.51428753595307,-27.954084212583663
-121.45956659868321,-27.585909180853708
-121.40925094481271,-27.20463650813198
-121.36013874412434,-26.81075030591623
-121.31414357753054,-26.404108222867446
-121.27744699233949,-26.07935339488627
-121.2199201011306,-25.651939985352968
-121.16045459525988,-25.212245770078773
-121.12005454597542,-24.91225296539914
-121.07890572897182,-24.606793260504247
-121.03700932952462,-24.29586919240099
-120.99437617223002,-23.97948161179716
-120.95100691296044,-23.657634213752203
-120.9069014102416,-23.330329027081508
-120.86205957783645,-22.99756625566723
-120.81647755269373,-22.659315142058205
-120.77014681400367,-22.315526357105142
-120.72305926221408,-21.96614558963053
-120.67520870730884,-21.61111618314871
-120.61840083279368,-21.189668528405974
-120.56885401040431,-20.82212602524488
-120.51850699495866,-20.4486796593532
-120.4673495703174,-20.069233081023096
-120.4153658901944,-19.683676053937166
-120.36254193795567,-19.29190051061708
-120.30885778596794,-18.893749688432585
-120.25411699762871,-18.48774820913193
-120.19804761475326,-18.071884011675557
-120.14051627734197,-17.645204320771658
-120.08143744676205,-17.20704715797107
-120.02073409225672,-16.75685373283349
-119.95833055240962,-16.29404884217262
-119.89414727500652,-15.818055415471605
-119.82810438626561,-15.328296932113757
-119.74858970459346,-14.73867019852277
-119.67820703617484,-14.216815475759734
-119.60564603251606,-13.678871251009864
-119.53062402654548,-13.122718786290314
-119.45283283116375,-12.546070220284827
-119.37203343353214,-11.947174906998624
-119.33043627088013,-11.638869608884432
-119.28800225572232,-11.324374314822554
-119.24470417737182,-11.003499564323368
-119.20051725227617,-10.676060225080938
-119.15541566005723,-10.341861899865414
-119.10937228846826,-10.000706928064242
-119.06236126367277,-9.652406749080479
-119.01435953997743,-9.296791888669166
-118.96537277457527,-8.933895725506813
-118.91552265597944,-8.564620019978749
-118.8650972462897,-8.19114568366231
-118.81421077278854,-7.814317452570144
-118.76280649572544,-7.433681874184463
-118.71082875451604,-7.04881310140313
-118.65823175505604,-6.659370479647851
-118.60497281981858,-6.265043204420965
-118.53284988518642,-5.731094945349004
-118.47786785429037,-5.324059040680537
-118.42207717056216,-4.911028812588063
-118.36543690977764,-4.491693939169956
-118.30790714725582,-4.065747854625444
-118.24944748363346,-3.632875669157199
-118.1900051000442,-3.1926788682284037
-118.12954437806738,-2.744927002195979
-118.06805628985552,-2.289570226037779
-118.00558146841746,-1.8268878954567844
-117.94228337312119,-1.3581205921475028
-117.87846244456048,-0.8856117499068453
-117.81420102316788,-0.4099938873226152
-117.74944722417622,0.06915027392754816
-117.68415084296633,0.5522495580442978
-117.61826890880636,1.0396552423849807
-117.55175918275143,1.5316707640747687
-117.4845778426405,2.0286188766038395
